sample_ts_UTC,pre_post,sample_event,sample_id,DOC_trios,DOC_sww,DOC_NPOC,Au254nm,Au400nm,Au465nm,Au665nm,pH
15/03/2013 11:00,1,1,1,16.317,NA,NA,1.294,0.211,0.112,0.06,4.57
15/03/2013 12:00,1,1,2,16.83,NA,NA,1.288,0.21,0.111,0.059,4.59
15/03/2013 13:00,1,1,3,15.614,NA,NA,1.233,0.203,0.108,0.059,4.55
15/03/2013 14:00,1,1,4,14.092,9.1,NA,1.179,0.193,0.104,0.058,4.61
15/03/2013 15:00,1,1,5,12.346,8.5,NA,1.076,0.18,0.099,0.058,4.69
15/03/2013 16:00,1,1,6,10.986,NA,NA,1.012,0.172,0.096,0.057,4.71
15/03/2013 17:00,1,1,7,10.679,NA,NA,0.973,0.167,0.094,0.057,4.67
15/03/2013 18:00,1,1,8,10.796,NA,NA,0.953,0.17,0.096,0.057,4.76
15/03/2013 19:00,1,1,9,10.491,NA,NA,0.927,0.161,0.092,0.057,4.7
15/03/2013 20:00,1,1,10,10.26833333,NA,NA,0.924,0.160666667,0.092,0.056666667,4.8
15/03/2013 21:00,1,1,11,10.473,NA,NA,0.911,0.159,0.092,0.057,4.72
15/03/2013 22:00,1,1,12,9.7056,NA,NA,0.886,0.156,0.09,0.057,4.76
15/03/2013 23:00,1,1,13,9.5519,NA,NA,0.867,0.153,0.089,0.056,4.82
16/03/2013 00:00,1,1,14,9.5719,9.1,NA,0.856,0.152,0.089,0.056,4.77
16/03/2013 01:00,1,1,15,9.2119,NA,NA,0.822,0.149,0.089,0.057,4.72
16/03/2013 02:00,1,1,16,8.4521,NA,NA,0.773,0.143,0.086,0.056,4.87
16/03/2013 03:00,1,1,17,7.9258,NA,NA,0.757,0.14,0.085,0.056,4.82
16/03/2013 04:00,1,1,18,8.2707,NA,NA,0.756,0.141,0.084,0.056,4.84
16/03/2013 05:00,1,1,19,8.449,NA,NA,0.767,0.142,0.085,0.056,4.85
16/03/2013 06:00,1,1,20,8.561,NA,NA,0.784,0.145,0.087,0.056,4.84
16/03/2013 07:00,1,1,21,8.8241,NA,NA,0.802,0.148,0.088,0.056,4.85
16/03/2013 08:00,1,1,22,9.1059,NA,NA,0.815,0.149,0.088,0.056,4.61
16/03/2013 09:00,1,1,23,9.4445,NA,NA,0.847,0.152,0.089,0.056,4.76
16/03/2013 10:00,1,1,24,9.7965,NA,NA,0.876,0.158,0.092,0.057,4.82
21/03/2013 15:00,1,2,1,10.041,NA,NA,1.362,0.225,0.118,0.06,4.62
21/03/2013 16:00,1,2,2,19.5,NA,NA,1.356,0.223,0.117,0.059,4.61
21/03/2013 17:00,1,2,3,19.187,NA,NA,1.348,0.223,0.117,0.06,4.62
21/03/2013 18:00,1,2,4,17.332,NA,NA,1.326,0.219,0.115,0.059,4.63
21/03/2013 19:00,1,2,5,14.689,NA,NA,1.28,0.213,0.113,0.059,4.67
21/03/2013 20:00,1,2,6,12.622,NA,NA,1.195,0.202,0.109,0.058,4.69
21/03/2013 21:00,1,2,7,12.94,NA,NA,1.142333333,0.195,0.106666667,0.058666667,4.68
21/03/2013 22:00,1,2,8,10.427,NA,NA,1.072,0.186,0.103,0.058,4.78
21/03/2013 23:00,1,2,9,9.3465,NA,NA,0.964,0.169,0.096,0.057,4.78
22/03/2013 00:00,1,2,10,9.3262,NA,NA,0.929,0.168,0.096,0.058,4.77
22/03/2013 01:00,1,2,11,10.243,NA,NA,0.892,0.162,0.093,0.056,4.79
22/03/2013 02:00,1,2,12,11.694,NA,NA,0.922,0.165,0.095,0.057,4.78
22/03/2013 03:00,1,2,13,11.993,NA,NA,0.925,0.167,0.096,0.057,4.8
22/03/2013 04:00,1,2,14,12.142,NA,NA,0.937,0.168,0.097,0.057,4.81
22/03/2013 05:00,1,2,15,10.71,NA,NA,0.928,0.167,0.096,0.057,4.81
22/03/2013 06:00,1,2,16,9.4011,NA,NA,0.903,0.166,0.096,0.057,4.8
